iteration;stat;count
33;extended_conflicting_triangles;99
33;vertices_to_smooth;136
33;updated_vertices;9
33;conflicting_sharp_vertices;0
33;conflicting_spur_vertices;32
33;conflicting_gully_vertices;53
33;conflicting_sharp_triangles;0
33;conflicting_spur_triangles;40
33;conflicting_gully_triangles;68
34;conflicting_iso_vertices;85
34;conflicting_triangles;99
34;extended_conflicting_triangles;99
34;vertices_to_smooth;136
34;updated_vertices;8
34;conflicting_sharp_vertices;0
34;conflicting_spur_vertices;32
34;conflicting_gully_vertices;53
34;conflicting_sharp_triangles;0
34;conflicting_spur_triangles;40
34;conflicting_gully_triangles;68
35;conflicting_iso_vertices;81
35;conflicting_triangles;94
35;extended_conflicting_triangles;94
35;vertices_to_smooth;132
35;updated_vertices;3
35;conflicting_sharp_vertices;0
35;conflicting_spur_vertices;28
35;conflicting_gully_vertices;53
35;conflicting_sharp_triangles;0
35;conflicting_spur_triangles;35
35;conflicting_gully_triangles;68
36;conflicting_iso_vertices;81
36;conflicting_triangles;94
36;extended_conflicting_triangles;94
36;vertices_to_smooth;132
36;updated_vertices;0
36;conflicting_sharp_vertices;0
36;conflicting_spur_vertices;28
36;conflicting_gully_vertices;53
36;conflicting_sharp_triangles;0
36;conflicting_spur_triangles;35
36;conflicting_gully_triangles;68
37;conflicting_iso_vertices;81
37;conflicting_triangles;94
37;extended_conflicting_triangles;517
37;vertices_to_smooth;420
37;updated_vertices;104
37;conflicting_sharp_vertices;0
37;conflicting_spur_vertices;28
37;conflicting_gully_vertices;53
37;conflicting_sharp_triangles;0
37;conflicting_spur_triangles;35
37;conflicting_gully_triangles;68
38;conflicting_iso_vertices;86
38;conflicting_triangles;100
38;extended_conflicting_triangles;100
38;vertices_to_smooth;140
38;updated_vertices;36
38;conflicting_sharp_vertices;0
38;conflicting_spur_vertices;28
38;conflicting_gully_vertices;58
38;conflicting_sharp_triangles;0
38;conflicting_spur_triangles;35
38;conflicting_gully_triangles;74
39;conflicting_iso_vertices;87
39;conflicting_triangles;100
39;extended_conflicting_triangles;100
39;vertices_to_smooth;137
39;updated_vertices;25
39;conflicting_sharp_vertices;0
39;conflicting_spur_vertices;33
39;conflicting_gully_vertices;54
39;conflicting_sharp_triangles;0
39;conflicting_spur_triangles;41
39;conflicting_gully_triangles;69
40;conflicting_iso_vertices;77
40;conflicting_triangles;92
40;extended_conflicting_triangles;92
40;vertices_to_smooth;127
40;updated_vertices;14
40;conflicting_sharp_vertices;0
40;conflicting_spur_vertices;27
40;conflicting_gully_vertices;50
40;conflicting_sharp_triangles;0
40;conflicting_spur_triangles;34
40;conflicting_gully_triangles;64
41;conflicting_iso_vertices;77
41;conflicting_triangles;92
41;extended_conflicting_triangles;92
41;vertices_to_smooth;127
41;updated_vertices;11
41;conflicting_sharp_vertices;0
41;conflicting_spur_vertices;27
41;conflicting_gully_vertices;50
41;conflicting_sharp_triangles;0
41;conflicting_spur_triangles;34
41;conflicting_gully_triangles;64
42;conflicting_iso_vertices;80
42;conflicting_triangles;95
42;extended_conflicting_triangles;95
42;vertices_to_smooth;130
42;updated_vertices;7
42;conflicting_sharp_vertices;0
42;conflicting_spur_vertices;30
42;conflicting_gully_vertices;50
